original_team,normalized_team,matched_logo_name,match_score,matched_deduped_team,match_score_meta,logo_country,logo_league,logo_filename,city,geocode_query,latitude,longitude
Arsenal,arsenal,arsenal,100.0,krc genk,40.0,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,Arsenal,"Arsenal, Belgium",50.4642023,4.857413528547967
West Bromwich Albion,west bromwich albion,brighton & hove albion,52.38095238095239,beerhot,29.629629629629623,Belgium,Pro League,Beerschot - Belgium - Pro League.png,West Bromwich Albion,"West Bromwich Albion, Belgium",,
Sunderland,sunderland,nordsjaelland,60.86956521739131,zulte waregem,26.086956521739136,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Sunderland,"Sunderland, Belgium",,
Liverpool,liverpool,liverpool,100.0,beerhot,37.5,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Liverpool,"Liverpool, Belgium",50.8436606,4.3350004
West Ham United,west ham united,west ham united,100.0,zulte waregem,28.57142857142857,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,West Ham United,"West Ham United, Belgium",,
Wigan Athletic,wigan athletic,athletic,72.72727272727273,zulte waregem,22.22222222222222,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Wigan Athletic,"Wigan Athletic, Belgium",,
Aston Villa,aston villa,aston villa,100.0,zulte waregem,25.0,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Aston Villa,"Aston Villa, Belgium",,
Manchester City,manchester city,manchester city,100.0,beerhot,36.36363636363637,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Manchester City,"Manchester City, Belgium",,
Everton,everton,everton,100.0,beerhot,57.14285714285714,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Everton,"Everton, Belgium",,
Blackburn Rovers,blkburn rovers,caykur rizespor,48.27586206896552,krc genk,36.36363636363637,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,Blackburn Rovers,"Blackburn Rovers, Belgium",,
Middlesbrough,middlesbrough,if elfsborg,50.0,zulte waregem,30.76923076923077,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Middlesbrough,"Middlesbrough, Belgium",,
Tottenham Hotspur,tottenham hotspur,tottenham hotspur,100.0,beerhot,33.333333333333336,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Tottenham Hotspur,"Tottenham Hotspur, Belgium",,
Bolton Wanderers,bolton wanderers,wolverhampton wanderers,76.92307692307692,zulte waregem,48.27586206896552,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Bolton Wanderers,"Bolton Wanderers, Belgium",,
Stoke City,stoke city,leicester city,66.66666666666667,zulte waregem,26.086956521739136,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Stoke City,"Stoke City, Belgium",,
Hull City,hull city,almere city,60.0,zulte waregem,27.27272727272727,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Hull City,"Hull City, Belgium",,
Fulham,fulham,fulham,100.0,zulte waregem,42.10526315789473,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Fulham,"Fulham, Belgium",51.529321100000004,-0.23241772194239174
Chelsea,chelsea,chelsea,100.0,zulte waregem,30.000000000000004,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Chelsea,"Chelsea, Belgium",51.2173092,4.3956897
Portsmouth,portsmouth,porto,66.66666666666667,beerhot,35.29411764705882,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Portsmouth,"Portsmouth, Belgium",,
Birmingham City,birmingham city,man city,60.86956521739131,beerhot,36.36363636363637,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Birmingham City,"Birmingham City, Belgium",,
Wolverhampton Wanderers,wolverhampton wanderers,wolverhampton wanderers,100.0,zulte waregem,38.888888888888886,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Wolverhampton Wanderers,"Wolverhampton Wanderers, Belgium",,
Burnley,burnley,burnley,100.0,zulte waregem,30.000000000000004,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Burnley,"Burnley, Belgium",,
Blackpool,blkpool,liverpool,62.5,beerhot,28.57142857142857,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Blackpool,"Blackpool, Belgium",,
Swansea City,swansea city,man city,70.0,zulte waregem,24.0,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Swansea City,"Swansea City, Belgium",,
Queens Park Rangers,queens park rangers,sparta prague,56.25,zulte waregem,43.75,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Queens Park Rangers,"Queens Park Rangers, Belgium",,
Norwich City,norwich city,norwich,73.6842105263158,beerhot,31.57894736842105,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Norwich City,"Norwich City, Belgium",,
Southampton,southampton,southampton,100.0,zulte waregem,33.333333333333336,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Southampton,"Southampton, Belgium",51.1387783,2.740880555025127
Reading,reading,r seraing,75.0,krc genk,40.0,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,Reading,"Reading, Belgium",50.79410505,5.351775734375002
Crystal Palace,crystal pale,crystal pale,100.0,zulte waregem,32.0,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Crystal Palace,"Crystal Palace, Belgium",51.2291168,2.9233268
Cardiff City,cardiff city,almere city,60.86956521739131,beerhot,21.052631578947366,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Cardiff City,"Cardiff City, Belgium",,
Leicester City,leicester city,leicester city,100.0,beerhot,38.095238095238095,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Leicester City,"Leicester City, Belgium",,
Bournemouth,bournemouth,a bournemouth,91.66666666666666,beerhot,44.44444444444444,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Bournemouth,"Bournemouth, Belgium",,
Watford,watford,watford,100.0,zulte waregem,30.000000000000004,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Watford,"Watford, Belgium",,
AJ Auxerre,aj auxerre,aj auxerre,100.0,zulte waregem,34.78260869565217,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,AJ Auxerre,"AJ Auxerre, Belgium",,
FC Nantes,nantes,nantes,100.0,zulte waregem,21.052631578947366,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,FC Nantes,"FC Nantes, Belgium",,
Girondins de Bordeaux,girondins de bordeaux,g bordeaux,64.51612903225806,zulte waregem,23.529411764705888,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Girondins de Bordeaux,"Girondins de Bordeaux, Belgium",,
SM Caen,sm caen,st gallen,62.5,krc genk,40.0,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,SM Caen,"SM Caen, Belgium",,
Le Havre AC,le havre,le havre,100.0,zulte waregem,57.14285714285714,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Le Havre AC,"Le Havre AC, Belgium",,
OGC Nice,ogc nice,ogc nice,100.0,krc genk,37.5,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,OGC Nice,"OGC Nice, Belgium",,
Le Mans FC,le mans,lechia gdansk,60.0,zulte waregem,40.0,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Le Mans FC,"Le Mans FC, Belgium",,
FC Lorient,lorient,lorient,100.0,krc genk,40.0,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,FC Lorient,"FC Lorient, Belgium",,
Olympique Lyonnais,olympique lyonnais,olympique lyon,87.5,zulte waregem,25.806451612903224,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Olympique Lyonnais,"Olympique Lyonnais, Belgium",,
Toulouse FC,toulouse,toulouse,100.0,zulte waregem,28.57142857142857,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Toulouse FC,"Toulouse FC, Belgium",50.842115965528485,4.3749460565634255
AS Monaco,as mono,as mono,100.0,krc genk,26.66666666666667,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,AS Monaco,"AS Monaco, Belgium",51.18894298526224,5.038992453678082
Paris Saint-Germain,paris saint germain,paris saint germain,100.0,krc genk,38.46153846153846,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,Paris Saint-Germain,"Paris Saint-Germain, Belgium",,
AS Nancy-Lorraine,as nancy lorraine,paris saint germain,55.55555555555556,zulte waregem,27.58620689655172,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,AS Nancy-Lorraine,"AS Nancy-Lorraine, Belgium",,
LOSC Lille,lo lille,lo lille,100.0,zulte waregem,28.57142857142857,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,LOSC Lille,"LOSC Lille, Belgium",,
Stade Rennais FC,stade rennais,stade rennais,100.0,zulte waregem,38.46153846153846,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Stade Rennais FC,"Stade Rennais FC, Belgium",,
Olympique de Marseille,olympique de marseille,olympique marseille,92.6829268292683,zulte waregem,40.0,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Olympique de Marseille,"Olympique de Marseille, Belgium",,
FC Sochaux-Montbéliard,sochaux montbeliard,montpellier,53.333333333333336,zulte waregem,32.25806451612904,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,FC Sochaux-Montbéliard,"FC Sochaux-Montbéliard, Belgium",,
Grenoble Foot 38,grenoble foot 38,clermont foot 63,56.25,beerhot,34.78260869565217,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Grenoble Foot 38,"Grenoble Foot 38, Belgium",,
Valenciennes FC,valenciennes,valencia cf,60.86956521739131,zulte waregem,32.0,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Valenciennes FC,"Valenciennes FC, Belgium",50.5977015,3.4021478
AS Saint-Étienne,as saint etienne,as saint etienne,100.0,zulte waregem,28.57142857142857,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,AS Saint-Étienne,"AS Saint-Étienne, Belgium",50.6443208,4.5685766
RC Lens,rc lens,rc lens,100.0,krc genk,66.66666666666667,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,RC Lens,"RC Lens, Belgium",,
Montpellier Hérault SC,montpellier herault,montpellier,73.33333333333334,beerhot,38.46153846153846,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Montpellier Hérault SC,"Montpellier Hérault SC, Belgium",,
US Boulogne Cote D'Opale,us boulogne cote d'opale,sv zulte waregem,44.99999999999999,zulte waregem,37.83783783783784,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,US Boulogne Cote D'Opale,"US Boulogne Cote D'Opale, Belgium",,
AC Arles-Avignon,arles avignon,celta de vigo,53.84615384615385,zulte waregem,32.0,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,AC Arles-Avignon,"AC Arles-Avignon, Belgium",,
Stade Brestois 29,stade brestois 29,stade brestois 29,100.0,zulte waregem,33.333333333333336,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Stade Brestois 29,"Stade Brestois 29, Belgium",,
AC Ajaccio,ajcio,ajcio,100.0,beerhot,16.666666666666664,Belgium,Pro League,Beerschot - Belgium - Pro League.png,AC Ajaccio,"AC Ajaccio, Belgium",,
Évian Thonon Gaillard FC,evian thonon gaillard,aston villa,56.25,zulte waregem,23.529411764705888,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Évian Thonon Gaillard FC,"Évian Thonon Gaillard FC, Belgium",,
Dijon FCO,dijon o,sion,54.54545454545454,beerhot,14.28571428571429,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Dijon FCO,"Dijon FCO, Belgium",,
Stade de Reims,stade de reims,stade reims,88.0,zulte waregem,44.44444444444444,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Stade de Reims,"Stade de Reims, Belgium",,
SC Bastia,bastia,boavista,71.42857142857143,beerhot,30.76923076923077,Belgium,Pro League,Beerschot - Belgium - Pro League.png,SC Bastia,"SC Bastia, Belgium",,
ES Troyes AC,es troyes,est troyes,94.73684210526316,beerhot,37.5,Belgium,Pro League,Beerschot - Belgium - Pro League.png,ES Troyes AC,"ES Troyes AC, Belgium",,
En Avant de Guingamp,en avant de guingamp,levante ud,53.333333333333336,zulte waregem,36.36363636363637,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,En Avant de Guingamp,"En Avant de Guingamp, Belgium",,
FC Metz,metz,metz,100.0,beerhot,36.36363636363637,Belgium,Pro League,Beerschot - Belgium - Pro League.png,FC Metz,"FC Metz, Belgium",50.26378095918767,6.112181518955577
Angers SCO,angers o,angers o,100.0,beerhot,40.0,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Angers SCO,"Angers SCO, Belgium",,
GFC Ajaccio,g ajcio,ajcio,83.33333333333334,zulte waregem,20.0,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,GFC Ajaccio,"GFC Ajaccio, Belgium",,
FC Bayern Munich,bayern munich,bayern munich,100.0,beerhot,40.0,Belgium,Pro League,Beerschot - Belgium - Pro League.png,FC Bayern Munich,"FC Bayern Munich, Belgium",,
Hamburger SV,hamburger sv,rangers,52.63157894736843,zulte waregem,32.0,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Hamburger SV,"Hamburger SV, Belgium",,
