original_team,normalized_team,matched_logo_name,match_score,matched_deduped_team,match_score_meta,logo_country,logo_league,logo_filename,city,geocode_query,latitude,longitude
FC Aarau,aarau,aarhus gf,57.14285714285714,zulte waregem,22.22222222222222,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,FC Aarau,"FC Aarau, Belgium",,
FC Sion,sion,sion,100.0,beerhot,18.181818181818176,Belgium,Pro League,Beerschot - Belgium - Pro League.png,FC Sion,"FC Sion, Belgium",50.82682624683838,3.2693528384938237
FC Luzern,luzern,luzern,100.0,zulte waregem,31.57894736842105,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,FC Luzern,"FC Luzern, Belgium",,
FC Vaduz,vaduz,cadiz cf,46.15384615384615,zulte waregem,11.111111111111116,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,FC Vaduz,"FC Vaduz, Belgium",,
Neuchâtel Xamax,neuchatel xamax,cf estrela amadora,48.48484848484848,zulte waregem,42.85714285714286,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Neuchâtel Xamax,"Neuchâtel Xamax, Belgium",,
FC Zürich,zurich,zurich,100.0,zulte waregem,31.57894736842105,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,FC Zürich,"FC Zürich, Belgium",,
FC St. Gallen,st gallen,st gallen,100.0,krc genk,44.44444444444444,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,FC St. Gallen,"FC St. Gallen, Belgium",,
FC Thun,thun,oh leuven,46.15384615384615,beerhot,18.181818181818176,Belgium,Pro League,Beerschot - Belgium - Pro League.png,FC Thun,"FC Thun, Belgium",,
Servette FC,servette,servette,100.0,beerhot,40.0,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Servette FC,"Servette FC, Belgium",,
FC Lausanne-Sports,lausanne sports,lausanne sport,96.55172413793105,beerhot,28.57142857142857,Belgium,Pro League,Beerschot - Belgium - Pro League.png,FC Lausanne-Sports,"FC Lausanne-Sports, Belgium",,
Lugano,lugano,lugano,100.0,krc genk,28.57142857142857,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,Lugano,"Lugano, Belgium",,
